Close,Date
3934.38,2022-12-09
3963.51,2022-12-08
3933.92,2022-12-07
3941.26,2022-12-06
3998.84,2022-12-05
4071.7,2022-12-02
4076.57,2022-12-01
4080.11,2022-11-30
3957.63,2022-11-29
3963.94,2022-11-28
4026.12,2022-11-25
4027.26,2022-11-23
4003.58,2022-11-22
3949.94,2022-11-21
3965.34,2022-11-18
3946.56,2022-11-17
3958.79,2022-11-16
3991.73,2022-11-15
3957.25,2022-11-14
3992.93,2022-11-11
3956.37,2022-11-10
3748.57,2022-11-09
3828.11,2022-11-08
3806.8,2022-11-07
3770.55,2022-11-04
3719.89,2022-11-03
3759.69,2022-11-02
3856.1,2022-11-01
3871.98,2022-10-31
3901.06,2022-10-28
3807.3,2022-10-27
3830.6,2022-10-26
3859.11,2022-10-25
3797.34,2022-10-24
3752.75,2022-10-21
3665.78,2022-10-20
3695.16,2022-10-19
3719.98,2022-10-18
3677.95,2022-10-17
3583.07,2022-10-14
3669.91,2022-10-13
3577.03,2022-10-12
3588.84,2022-10-11
3612.39,2022-10-10
3639.66,2022-10-07
3744.52,2022-10-06
3783.28,2022-10-05
3790.93,2022-10-04
3678.43,2022-10-03
3585.62,2022-09-30
3640.47,2022-09-29
3719.04,2022-09-28
3647.29,2022-09-27
3655.04,2022-09-26
3693.23,2022-09-23
3757.99,2022-09-22
3789.93,2022-09-21
3855.93,2022-09-20
3899.89,2022-09-19
3873.33,2022-09-16
3901.35,2022-09-15
3946.01,2022-09-14
3932.69,2022-09-13
4110.41,2022-09-12
4067.36,2022-09-09
4006.18,2022-09-08
3979.87,2022-09-07
3908.19,2022-09-06
3924.26,2022-09-02
3966.85,2022-09-01
3955.0,2022-08-31
3986.16,2022-08-30
4030.61,2022-08-29
4057.66,2022-08-26
4199.12,2022-08-25
4140.77,2022-08-24
4128.73,2022-08-23
4137.99,2022-08-22
4228.48,2022-08-19
4283.74,2022-08-18
4274.04,2022-08-17
4305.2,2022-08-16
4297.14,2022-08-15
4280.15,2022-08-12
4207.27,2022-08-11
4210.24,2022-08-10
4122.47,2022-08-09
4140.06,2022-08-08
4145.19,2022-08-05
4151.94,2022-08-04
4155.17,2022-08-03
4091.19,2022-08-02
4118.63,2022-08-01
4130.29,2022-07-29
4072.43,2022-07-28
4023.61,2022-07-27
3921.05,2022-07-26
3966.84,2022-07-25
3961.63,2022-07-22
3998.95,2022-07-21
3959.9,2022-07-20
3936.69,2022-07-19
3830.85,2022-07-18
3863.16,2022-07-15
3790.38,2022-07-14
3801.78,2022-07-13
3818.8,2022-07-12
3854.43,2022-07-11
3899.38,2022-07-08
3902.62,2022-07-07
3845.08,2022-07-06
3831.39,2022-07-05
3825.33,2022-07-01
3785.38,2022-06-30
3818.83,2022-06-29
3821.55,2022-06-28
3900.11,2022-06-27
3911.74,2022-06-24
3795.73,2022-06-23
3759.89,2022-06-22
3764.79,2022-06-21
3674.84,2022-06-17
3666.77,2022-06-16
3789.99,2022-06-15
3735.48,2022-06-14
3749.63,2022-06-13
3900.86,2022-06-10
4017.82,2022-06-09
4115.77,2022-06-08
4160.68,2022-06-07
4121.43,2022-06-06
4108.54,2022-06-03
4176.82,2022-06-02
4101.23,2022-06-01
4132.15,2022-05-31
4158.24,2022-05-27
4057.84,2022-05-26
3978.73,2022-05-25
3941.48,2022-05-24
3973.75,2022-05-23
3901.36,2022-05-20
3900.79,2022-05-19
3923.68,2022-05-18
4088.85,2022-05-17
4008.01,2022-05-16
4023.89,2022-05-13
3930.08,2022-05-12
3935.18,2022-05-11
4001.05,2022-05-10
3991.24,2022-05-09
4123.34,2022-05-06
4146.87,2022-05-05
4300.17,2022-05-04
4175.48,2022-05-03
4155.38,2022-05-02
4131.93,2022-04-29
4287.5,2022-04-28
4183.96,2022-04-27
4175.2,2022-04-26
4296.12,2022-04-25
4271.78,2022-04-22
4393.66,2022-04-21
4459.45,2022-04-20
4462.21,2022-04-19
4391.69,2022-04-18
4392.59,2022-04-14
4446.59,2022-04-13
4397.45,2022-04-12
4412.53,2022-04-11
4488.28,2022-04-08
4500.21,2022-04-07
4481.15,2022-04-06
4525.12,2022-04-05
4582.64,2022-04-04
4545.86,2022-04-01
4530.41,2022-03-31
4602.45,2022-03-30
4631.6,2022-03-29
4575.52,2022-03-28
4543.06,2022-03-25
4520.16,2022-03-24
4456.24,2022-03-23
4511.61,2022-03-22
4461.18,2022-03-21
4463.12,2022-03-18
4411.67,2022-03-17
4357.86,2022-03-16
4262.45,2022-03-15
4173.11,2022-03-14
4204.31,2022-03-11
4259.52,2022-03-10
4277.88,2022-03-09
4170.7,2022-03-08
4201.09,2022-03-07
4328.87,2022-03-04
4363.49,2022-03-03
4386.54,2022-03-02
4306.26,2022-03-01
4373.94,2022-02-28
4384.65,2022-02-25
4288.7,2022-02-24
4225.5,2022-02-23
4304.76,2022-02-22
4348.87,2022-02-18
4380.26,2022-02-17
4475.01,2022-02-16
4471.07,2022-02-15
4401.67,2022-02-14
4418.64,2022-02-11
4504.08,2022-02-10
4587.18,2022-02-09
4521.54,2022-02-08
4483.87,2022-02-07
4500.53,2022-02-04
4477.44,2022-02-03
4589.38,2022-02-02
4546.54,2022-02-01
4515.55,2022-01-31
4431.85,2022-01-28
4326.51,2022-01-27
4349.93,2022-01-26
4356.45,2022-01-25
4410.13,2022-01-24
4397.94,2022-01-21
4482.73,2022-01-20
4532.76,2022-01-19
4577.11,2022-01-18
4662.85,2022-01-14
4659.03,2022-01-13
4726.35,2022-01-12
4713.07,2022-01-11
4670.29,2022-01-10
4677.03,2022-01-07
4696.05,2022-01-06
4700.58,2022-01-05
4793.54,2022-01-04
4796.56,2022-01-03
4766.18,2021-12-31
4778.73,2021-12-30
4793.06,2021-12-29
4786.35,2021-12-28
4791.19,2021-12-27
4725.79,2021-12-23
4696.56,2021-12-22
4649.23,2021-12-21
4568.02,2021-12-20
4620.64,2021-12-17
4668.67,2021-12-16
4709.85,2021-12-15
